ID,prefecture,latitude,longitude,power
3,30,34.271913,135.135274,1.302
7,30,34.279023,135.141710,2.794
8,30,34.182374,135.210084,1.6
9,30,34.280621,135.098882,21
10,30,34.290981,135.084250,23.9424
11,30,34.275231,135.094244,2.0374
13,30,34.102332,135.120593,1.3105
15,30,34.088627,135.099212,39.679
18,30,34.089366,135.444143,1.0614
19,30,34.109530,135.243420,17.5104
22,30,33.977199,135.223273,1.296
24,30,33.998223,135.175202,0.8352
33,30,33.941625,135.321231,16.8
34,30,33.933987,135.223499,1.236
36,30,33.810305,135.217710,1.2
39,30,33.575998,135.937312,1.0821
41,30,33.556678,135.680687,1.1566
42,30,33.446093,135.786922,1.8411
43,30,33.446964,135.783912,1
44,30,33.489284,135.703850,0.8153
46,30,33.805535,135.415826,0.9042
50,30,33.662017,135.346609,1.668
51,30,33.683874,135.434384,15.672
52,30,33.733161,135.468992,7.8424
53,30,33.687179,135.959322,2.04561
55,30,33.798573,135.877789,3.7199
61,30,34.333381,135.588943,0.708
62,30,34.350801,135.633360,0.998
64,30,34.235820,135.391189,21.4538
65,30,34.217613,135.349662,1.2012
68,30,34.206989,135.338334,1.3203
69,30,34.280130,135.284320,0.9784
70,30,34.295808,135.311083,1.2852
71,30,34.291552,135.312842,2.4847
72,30,34.291256,135.306299,1.7993
73,30,34.262636,135.328852,0.756
75,30,34.135846,135.147040,2.2185
76,30,34.187534,135.335094,1.9938
78,30,34.239990,135.576054,1.0368
79,30,34.300801,135.536799,1.2566
80,30,34.319265,135.525290,1.27
81,30,34.307987,135.487975,1.2889
85,01,41.926540,140.149396,1.10592
89,01,41.909399,140.153836,2.3553
106,01,43.198158,140.775253,1.98016
111,01,42.948497,141.814784,1.204
112,01,43.050081,141.804632,0.924
116,01,42.697339,141.886706,1.5129
117,01,42.607871,141.842847,1.8096
118,01,42.615065,141.833656,1.2834
119,01,42.613913,141.832107,1.0873
121,01,42.628687,141.842076,15.14
122,01,42.764696,141.798913,13.5022
123,01,42.769263,141.772317,1
124,01,42.712610,141.793007,111.006
125,01,42.726943,141.767360,1.1668
127,01,42.571542,141.929661,1.3
128,01,42.726258,142.136063,1.248
129,01,42.634008,141.945424,19.044
130,01,43.382911,145.121449,0.8812
136,01,44.354210,143.330269,2.3415
137,01,44.336726,143.344510,0.75
138,01,44.328748,143.363750,1.13152
140,01,44.285403,143.443251,0.9745
141,01,44.374972,143.297700,1.3537
142,01,44.370216,143.321066,1.1088
144,01,44.372927,143.331173,1.0296
146,01,44.370815,143.335903,1.5444
147,01,44.326249,143.373808,1.4
148,01,44.319636,143.382474,1.25
149,01,44.313814,143.395815,1.25
150,01,44.647465,142.893107,0.739
152,01,44.167566,143.677749,0.8085
153,01,44.217601,143.573022,1.9306
154,01,44.148998,143.574616,0.924
156,01,44.190240,143.116280,0.8435
159,01,44.460293,143.097009,1
165,01,44.042141,143.538401,1.2423
166,01,44.044578,143.501418,1.12
169,01,44.076740,143.527393,1.2522
171,01,44.083298,143.523676,1.1226
172,01,44.039220,144.186807,1.512
173,01,44.043073,144.184755,1.7585
177,01,43.858383,144.103975,1.4342
178,01,43.942597,144.196986,0.8388
182,01,41.873742,140.654944,1.382216
183,01,41.851447,140.598729,3.4232
184,01,41.915375,140.637693,1.2017
186,01,42.970721,141.497554,1.001
